alpha,seed,rejected_empty_client,empty_client_ids,hd_pairwise_rms,hd_pairwise_mean,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
0.9,4026,False,,0.3306834517504026,0.2850449229024435,0.0,325226,9254483.0,28.455544759644063,0.0,0.25,hd_0p25
0.9,4027,False,,0.23331799987881388,0.22252117123249415,0.0,903868,6408296.0,7.0898582536388055,0.0,0.25,hd_0p25
0.9,4028,False,,0.2674886902033092,0.25455469667723707,0.0,470933,6350298.0,13.484504165136018,0.0,0.25,hd_0p25
0.9,4029,False,,0.3510019870305616,0.31901044398441153,0.0,901851,8792444.0,9.749331097930812,0.0,0.25,hd_0p25
1.0,4000,False,,0.31265951671044107,0.291511492648815,0.0,499782,6292246.0,12.589981231817072,0.0,0.25,hd_0p25
1.0,4001,False,,0.24205417481830155,0.2269856253199672,0.0,1004149,4865821.0,4.845716123802344,0.0,0.25,hd_0p25
1.0,4002,False,,0.25145660861109453,0.22630263860588692,0.0,148615,4426495.0,29.784981327591428,0.0,0.25,hd_0p25
1.0,4003,False,,0.4647407151211164,0.3452930124615826,0.0,775149,8373289.0,10.802167067234816,0.0,0.25,hd_0p25
1.0,4004,False,,0.26231562493747285,0.2400964484127976,0.0,904638,6060472.0,6.6993338771972875,0.0,0.25,hd_0p25
1.0,4005,False,,0.27456425132755896,0.24837196685522062,0.0,1012689,5607267.0,5.537007906672236,0.0,0.25,hd_0p25
1.0,4006,False,,0.1957156100289466,0.17957647621531747,0.0,1565407,3172355.0,2.026536868686546,0.0,0.25,hd_0p25
1.0,4007,False,,0.5760633502645833,0.5322107760528826,0.0,282969,6339135.0,22.40222427191671,0.0,0.25,hd_0p25
1.0,4008,False,,0.41630578153152553,0.38490047205010647,0.0,608361,5969878.0,9.813051789973388,0.0,0.25,hd_0p25
1.0,4009,False,,0.17694114220543672,0.1694092649394236,0.0,1344582,5664194.0,4.21260585074023,0.0,0.25,hd_0p25
1.0,4010,False,,0.29674766766468685,0.2640432495360133,0.0,748929,4338923.0,5.7935037900788995,0.0,0.25,hd_0p25
1.0,4011,False,,0.4514613775845888,0.39127207933865027,0.0,284595,6449927.0,22.663528874365326,0.0,0.25,hd_0p25
1.0,4012,False,,0.21911596238569864,0.209606602365049,0.0,858786,3500305.0,4.075875712924989,0.0,0.25,hd_0p25
1.0,4013,False,,0.235090770915748,0.21300299915697093,0.0,868400,5200308.0,5.988378627360663,0.0,0.25,hd_0p25
1.0,4014,False,,0.33850964913770265,0.3080445794922922,0.0,631243,6689434.0,10.597240682272913,0.0,0.25,hd_0p25
1.0,4015,False,,0.24273574388444857,0.2350025095807687,0.0,578435,6863828.0,11.866204500073474,0.0,0.25,hd_0p25
1.0,4016,False,,0.29818661676827274,0.2788542225765172,0.0,688625,8690442.0,12.619992013069522,0.0,0.25,hd_0p25
1.0,4017,False,,0.3320000537625537,0.30277454635588014,0.0,642206,8307049.0,12.935178120416191,0.0,0.25,hd_0p25
1.0,4018,False,,0.2516165372788606,0.24173711224496763,0.0,672070,5896168.0,8.773145654470516,0.0,0.25,hd_0p25
1.0,4019,False,,0.22756828952706037,0.21744206174516592,1.0,917736,6878421.0,7.49498875493606,0.2,0.25,hd_0p25
1.0,4020,False,,0.2682824614344452,0.24421668745034672,0.0,1110919,4977207.0,4.480260937116028,0.0,0.25,hd_0p25
1.0,4021,False,,0.4960005095600191,0.46918866182192104,0.0,208105,8058011.0,38.72089089642248,0.0,0.25,hd_0p25
1.0,4022,False,,0.23092058777441674,0.21783440877300392,0.0,862944,5388964.0,6.244859457855898,0.0,0.25,hd_0p25
1.0,4023,False,,0.32119075215334314,0.30552510695856494,0.0,509448,7457831.0,14.639042650084013,0.0,0.25,hd_0p25
1.0,4024,False,,0.4228738004239891,0.37395593875225547,0.0,294787,4526363.0,15.354689996505952,0.0,0.25,hd_0p25
1.0,4025,False,,0.2821657584502139,0.2498606461968794,0.0,248886,6238587.0,25.06604228441937,0.0,0.25,hd_0p25
1.0,4026,False,,0.29258229375914707,0.24089679414880644,0.0,631202,6882512.0,10.903818428965687,0.0,0.25,hd_0p25
1.0,4027,False,,0.14800400819277373,0.1367384974656048,0.0,945199,5274024.0,5.5798027716914635,0.0,0.25,hd_0p25
1.0,4028,False,,0.40164974111358603,0.3429937086954507,0.0,398357,4965369.0,12.464620930471913,0.0,0.25,hd_0p25
1.0,4029,False,,0.17933966024043033,0.16510916929958486,0.0,808969,5616690.0,6.943022538564518,0.0,0.25,hd_0p25
1.15,4000,False,,0.23853718817961553,0.2290753867775798,0.0,503456,5607117.0,11.13725330515477,0.0,0.25,hd_0p25
1.15,4001,False,,0.17086464537816082,0.163745348684545,0.0,1635643,3563722.0,2.1787896258535633,0.0,0.25,hd_0p25
1.15,4002,False,,0.1431173955344737,0.13174533819250775,0.0,1712503,4177955.0,2.439677477937265,0.0,0.25,hd_0p25
1.15,4003,False,,0.15134300440102796,0.1466623190781341,0.0,897669,4810902.0,5.359327324436959,0.0,0.25,hd_0p25
1.15,4004,False,,0.2073844871357228,0.19266151609535068,0.0,854037,5803366.0,6.795216132322136,0.0,0.25,hd_0p25
1.15,4005,False,,0.3196009105809906,0.2846133851278743,0.0,852319,7507454.0,8.808267796447105,0.0,0.25,hd_0p25
1.15,4006,False,,0.28417529672771563,0.2564894129079911,0.0,1212887,4638851.0,3.8246357657391004,0.0,0.25,hd_0p25
1.15,4007,False,,0.14754694239410215,0.1392687086145073,0.0,1233683,4266293.0,3.458176046845097,0.0,0.25,hd_0p25
1.15,4008,False,,0.13793528313243442,0.13061973027946658,0.0,1277181,3890057.0,3.0458149627969724,0.0,0.25,hd_0p25
1.15,4009,False,,0.23229555155709802,0.21495242098408687,0.0,823407,5699605.0,6.9219778311333275,0.0,0.25,hd_0p25
1.15,4010,False,,0.19455749855398533,0.1855331711261764,0.0,645054,4616691.0,7.157061269289083,0.0,0.25,hd_0p25
1.15,4011,False,,0.32229572487137004,0.29053549504155385,0.0,637045,5696426.0,8.94195229536375,0.0,0.25,hd_0p25
1.15,4012,False,,0.20043025205869383,0.1882892061733269,0.0,1400248,4300482.0,3.0712288108963555,0.0,0.25,hd_0p25
1.15,4013,False,,0.24832771969695547,0.23453339965379225,0.0,957861,8481812.0,8.854950770518895,0.0,0.25,hd_0p25
1.15,4014,False,,0.2889644810156435,0.24568123125708147,0.0,1435224,5971639.0,4.16077141965296,0.0,0.25,hd_0p25
1.15,4015,False,,0.22498183476623254,0.21926769358235268,0.0,721496,6261175.0,8.6780453391287,0.0,0.25,hd_0p25
1.15,4016,False,,0.3452802395033783,0.30180833802367835,0.0,511786,6721437.0,13.13329594791573,0.0,0.25,hd_0p25
1.15,4017,False,,0.11499395005293347,0.11129407766388333,0.0,2330061,3096873.0,1.3290952468626358,0.0,0.25,hd_0p25
1.15,4018,False,,0.18180064204063723,0.17092377777423942,0.0,1647325,3498368.0,2.123665943271668,0.0,0.25,hd_0p25
1.15,4019,False,,0.490410032376797,0.43054538174541446,0.0,162193,4667174.0,28.775434204928697,0.0,0.25,hd_0p25
1.15,4020,False,,0.3747159578088911,0.35396174547746845,0.0,419965,6873494.0,16.36682580691248,0.0,0.25,hd_0p25
1.15,4021,False,,0.14123909443731048,0.1331362641936073,0.0,1744227,3444143.0,1.9745956231614348,0.0,0.25,hd_0p25
1.15,4022,False,,0.26152934125870947,0.24821505781053882,0.0,609627,5512912.0,9.043090283074733,0.0,0.25,hd_0p25
1.15,4023,False,,0.18802260615353003,0.17366469851010247,0.0,1429761,3865210.0,2.7033958822488513,0.0,0.25,hd_0p25
1.15,4024,False,,0.19140576322941508,0.17732566586578963,0.0,656864,4657724.0,7.090849856286842,0.0,0.25,hd_0p25
1.15,4025,False,,0.27168356186866005,0.23476541947165938,0.0,1040428,5445251.0,5.2336644150291995,0.0,0.25,hd_0p25
1.15,4026,False,,0.1994198170972629,0.193122892032844,0.0,730340,8226034.0,11.263293808363228,0.0,0.25,hd_0p25
1.15,4027,False,,0.48493415698089753,0.43019168711121775,0.0,349334,6361291.0,18.2097677294509,0.0,0.25,hd_0p25
1.15,4028,False,,0.3419615545445061,0.30401477082569917,0.0,821737,6588076.0,8.017256129394198,0.0,0.25,hd_0p25
1.15,4029,False,,0.36641361488807095,0.3076837495347754,0.0,573348,5379348.0,9.382343707486553,0.0,0.25,hd_0p25
