alpha,seed,rejected_empty_client,empty_client_ids,fedartml_hd,hd_pairwise_mean,hd_pairwise_rms,zero_cells,size_min,size_max,size_max_min_ratio,mean_absent_classes_per_client,target_hd,hd_condition
0.75,5006,False,,0.5071654614807578,0.47061708435511174,0.5071654614807577,6,761757,9195884,12.071938951660437,1.2,0.25,hd_0p25
0.75,5007,False,,0.42188159291313654,0.36290673081557884,0.42188159291313654,12,1005750,3796152,3.774448918717375,2.4,0.25,hd_0p25
0.75,5008,False,,0.5449683471966085,0.4706639490651363,0.5449683471966085,16,731165,4998307,6.836086245922603,3.2,0.25,hd_0p25
0.75,5009,False,,0.31219395478858036,0.2974914185625835,0.31219395478858036,6,987815,6564768,6.645746420129275,1.2,0.25,hd_0p25
0.75,5010,False,,0.4739433461095853,0.3867999218406641,0.4739433461095852,17,642871,4592010,7.1429726959218875,3.4,0.25,hd_0p25
0.75,5011,False,,0.4756428159597821,0.43157892983874635,0.4756428159597821,15,822447,4663688,5.670502780118354,3.0,0.25,hd_0p25
0.75,5012,False,,0.31298373257959056,0.29872153560938924,0.31298373257959056,6,1053129,7135534,6.775555511243162,1.2,0.25,hd_0p25
0.75,5013,False,,0.5470218246873727,0.5058300655070653,0.5470218246873727,6,330602,8509919,25.740676099963096,1.2,0.25,hd_0p25
0.75,5014,False,,0.3394089148250459,0.32503170643449675,0.33940891482504587,6,699306,7973294,11.401723994932118,1.2,0.25,hd_0p25
0.75,5015,False,,0.2900111200245819,0.27845635665403734,0.2900111200245819,6,1291043,5075203,3.9310875005712433,1.2,0.25,hd_0p25
0.75,5016,False,,0.37515362498046506,0.34616403970513393,0.375153624980465,6,707294,8492447,12.006954675142161,1.2,0.25,hd_0p25
0.75,5017,False,,0.330229014579951,0.297105178848086,0.33022901457995096,10,906749,4833158,5.330204940948377,2.0,0.25,hd_0p25
0.75,5018,False,,0.44960198382906785,0.40409544479407133,0.4496019838290678,11,421564,4872367,11.557834634835991,2.2,0.25,hd_0p25
0.75,5019,False,,0.38971143844078754,0.3737026171729131,0.3897114384407875,6,759430,8206275,10.805834639137247,1.2,0.25,hd_0p25
0.75,5020,False,,0.38587886970537455,0.33253974291791755,0.38587886970537455,20,1384495,3349930,2.4196042600370533,4.0,0.25,hd_0p25
0.75,5021,False,,0.39754507214627754,0.35523402458936915,0.3975450721462776,12,660437,4132678,6.257490116392631,2.4,0.25,hd_0p25
0.75,5022,False,,0.37408816875400003,0.34470836912653297,0.3740881687539999,12,1374148,5479190,3.9873361530199074,2.4,0.25,hd_0p25
0.75,5023,False,,0.4664767712509617,0.4017133597316844,0.46647677125096165,14,713464,4333948,6.07451532242692,2.8,0.25,hd_0p25
0.75,5024,False,,0.40809199455711487,0.3735217495780746,0.40809199455711487,9,1058632,5618456,5.307279583462431,1.8,0.25,hd_0p25
0.75,5025,False,,0.5601146484018076,0.4568517986133103,0.5601146484018075,18,484798,4003537,8.258154942883428,3.6,0.25,hd_0p25
0.75,5026,False,,0.5647604429477748,0.516624649541834,0.5647604429477748,12,508265,7793734,15.333997029108831,2.4,0.25,hd_0p25
0.75,5027,False,,0.4455167886769179,0.4167061774880111,0.4455167886769179,6,303457,9001841,29.66430499214057,1.2,0.25,hd_0p25
0.75,5028,False,,0.6238185938404908,0.56131501113725,0.6238185938404907,12,400671,7504945,18.730941345892266,2.4,0.25,hd_0p25
0.75,5029,False,,0.3564258518146219,0.31830222439115385,0.35642585181462183,14,1394249,4021213,2.8841426459692636,2.8,0.25,hd_0p25
1.0,5000,False,,0.3023140455722359,0.274282486201035,0.3023140455722359,12,1763695,3485695,1.976359291147279,2.4,0.25,hd_0p25
1.0,5001,False,,0.4113792004969972,0.38641270612710577,0.4113792004969972,15,1021392,5105238,4.9983140655105975,3.0,0.25,hd_0p25
1.0,5002,False,,0.3117403063264114,0.291151759228799,0.3117403063264114,6,1143266,5848563,5.11566249674179,1.2,0.25,hd_0p25
1.0,5003,False,,0.5137004097710421,0.4515185728906698,0.513700409771042,12,765838,5956731,7.778056194652133,2.4,0.25,hd_0p25
1.0,5004,False,,0.4385725039740249,0.41530005059067604,0.4385725039740249,6,500984,9201870,18.367592577806874,1.2,0.25,hd_0p25
1.0,5005,False,,0.3248730714926699,0.2889355196749162,0.3248730714926699,12,1306110,3803504,2.9120855058149773,2.4,0.25,hd_0p25
1.0,5006,False,,0.32474855260279645,0.29519442053723355,0.3247485526027964,9,1940604,4027989,2.075636760513737,1.8,0.25,hd_0p25
1.0,5007,False,,0.2833759947680111,0.26731387562213427,0.2833759947680111,9,1720781,3585657,2.0837381398330175,1.8,0.25,hd_0p25
1.0,5008,False,,0.29184718413173116,0.28296716168560637,0.29184718413173116,9,1045469,5907921,5.650976738669439,1.8,0.25,hd_0p25
1.0,5009,False,,0.31634301451459595,0.30534424077176114,0.31634301451459595,14,1186961,3728636,3.1413298330779194,2.8,0.25,hd_0p25
1.0,5010,False,,0.2618151429129637,0.24228172906787662,0.2618151429129637,8,1209235,4971477,4.1112579440720785,1.6,0.25,hd_0p25
1.0,5011,False,,0.5866563067637633,0.474995054331795,0.5866563067637633,18,526355,4858104,9.229709986605998,3.6,0.25,hd_0p25
1.0,5012,False,,0.3036161299479234,0.28295754429414666,0.3036161299479234,6,868320,7628486,8.78533950617284,1.2,0.25,hd_0p25
1.0,5013,False,,0.39835538979124113,0.3775254235664192,0.39835538979124113,9,456723,5766826,12.62652855231727,1.8,0.25,hd_0p25
1.0,5014,False,,0.3845904259749371,0.3564642165240776,0.38459042597493703,14,601212,5490895,9.13304291996833,2.8,0.25,hd_0p25
1.0,5015,False,,0.39861971982866895,0.3625444824082583,0.3986197198286689,6,550792,6319690,11.473823149210592,1.2,0.25,hd_0p25
1.0,5016,False,,0.329418848409552,0.3068482616842197,0.329418848409552,6,915440,6604127,7.214156034256751,1.2,0.25,hd_0p25
1.0,5017,False,,0.5410082301410251,0.426527384704711,0.5410082301410251,18,1239704,3837729,3.095681711118138,3.6,0.25,hd_0p25
1.0,5018,False,,0.4379995289362107,0.3773650895824335,0.4379995289362106,12,1047691,4754815,4.538375341584494,2.4,0.25,hd_0p25
1.0,5019,False,,0.3296996325959633,0.3028501953485141,0.3296996325959633,6,1085067,7878807,7.26112488906215,1.2,0.25,hd_0p25
1.0,5020,False,,0.4261975649964299,0.3772421799121547,0.42619756499642986,15,1098697,3844674,3.499303265595519,3.0,0.25,hd_0p25
1.0,5021,False,,0.3613140729475436,0.32094329922722653,0.3613140729475436,11,1113126,4096687,3.6803443635311726,2.2,0.25,hd_0p25
